Baseline 100%T,,Baseline 0%T,,Fresh18MohmDI-RO,,Fresh18MohmDI-RO1,,Fresh18MohmDI-RO2,,SouthTank,,SouthTank1,,SouthTank2,,NorthTank,,NorthTank1,,NorthTank2,,Target_20260713_1,,Target_20260713_2,,Target_20260713_3,,Target_2024-09-27_1,,Target_2024-09-27_2,,Target_2024-09-27_3,,Fresh18MohmDI-RO-after,,Fresh18MohmDI-RO-after1,,Fresh18MohmDI-RO-after2,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
599.9829712,79.65192413,599.9829712,-0.03285260499,599.9829712,0.000209312595,599.9829712,8.96005804E-005,599.9829712,0.0001889051055,599.9829712,0.0001550587476,599.9829712,8.206627535E-005,599.9829712,0.0001906402176,599.9829712,0.0003207161208,599.9829712,0.0004964658874,599.9829712,0.0003723221307,599.9829712,0.0001547997963,599.9829712,-8.645052731E-005,599.9829712,-2.205428427E-005,599.9829712,-3.981079499E-005,599.9829712,-6.362304703E-005,599.9829712,9.747160948E-005,599.9829712,-3.639414717E-005,599.9829712,-5.937835158E-005,599.9829712,3.455914339E-005,
599.0165405,79.60820007,599.0165405,-0.005748625845,599.0165405,-0.0001239760895,599.0165405,-0.000331110612,599.0165405,-0.0001878397306,599.0165405,-1.330518353E-005,599.0165405,-0.0001275990799,599.0165405,-8.401772357E-005,599.0165405,0.0001221471757,599.0165405,4.747746061E-005,599.0165405,0.0001451409917,599.0165405,-0.0002393792238,599.0165405,-0.0001457135513,599.0165405,-0.0002264949289,599.0165405,-0.0002182673925,599.0165405,-0.000378029421,599.0165405,-0.0003640629293,599.0165405,-0.0002678889141,599.0165405,-0.0003463714093,599.0165405,-0.0002855318889,
598.0127563,79.61480713,598.0127563,-0.01152575854,598.0127563,-0.0003239714424,598.0127563,-0.0003038467257,598.0127563,-0.0001771791867,598.0127563,-7.21123215E-005,598.0127563,-0.0002320833446,598.0127563,-0.0002308414696,598.0127563,0.0001078802306,598.0127563,-3.339161412E-005,598.0127563,4.323171743E-005,598.0127563,-0.0003380427079,598.0127563,-0.0002526770695,598.0127563,-0.0003950472455,598.0127563,-0.0002505039156,598.0127563,-0.0003170908603,598.0127563,-0.0004101506202,598.0127563,-0.000407874817,598.0127563,-0.0002794267784,598.0127563,-0.0005091372877,
597.008606,79.69220734,597.008606,0.003719753586,597.008606,7.81763265E-006,597.008606,-7.226761227E-005,597.008606,-4.483218436E-005,597.008606,0.0001755682315,597.008606,8.765873645E-005,597.008606,0.0001138355219,597.008606,0.000245546049,597.008606,0.0001627755846,597.008606,0.0003955105494,597.008606,-0.0001383125928,597.008606,-7.853092393E-005,597.008606,-4.622987763E-005,597.008606,-1.775741111E-005,597.008606,-0.0001563231053,597.008606,-5.979246998E-005,597.008606,-8.018732478E-005,597.008606,-2.73347232E-005,597.008606,-0.000145972328,
596.0042725,79.70185089,596.0042725,-0.007127374411,596.0042725,-8.904681636E-006,596.0042725,-1.75503319E-005,596.0042725,6.288156874E-005,596.0042725,0.0003248350404,596.0042725,4.266217002E-005,596.0042725,0.0001447784598,596.0042725,0.0002618637227,596.0042725,0.0003891627421,596.0042725,0.0004733498208,596.0042725,-4.333095058E-005,596.0042725,1.861241071E-005,596.0042725,-0.0001895992173,596.0042725,-3.10630503E-006,596.0042725,-3.339161412E-005,596.0042725,-0.000277615909,596.0042725,-0.0001154360725,596.0042725,-0.0001097943968,596.0042725,-8.194724069E-005,
594.9996948,79.70957184,594.9996948,0.004083947744,594.9996948,-5.17719343E-008,594.9996948,-3.142442802E-005,594.9996948,-0.0001257358381,594.9996948,0.0002426451829,594.9996948,8.390453149E-005,594.9996948,-1.470298139E-005,594.9996948,4.897901454E-005,594.9996948,0.0002841914538,594.9996948,0.000389214576,594.9996948,-0.0001544082334,594.9996948,-0.0001503196836,594.9996948,-3.742949775E-005,594.9996948,-0.0001713313104,594.9996948,-0.0001360870956,594.9996948,-0.000125528808,594.9996948,-9.732033504E-005,594.9996948,-0.0001322571625,594.9996948,-4.918055492E-005,
593.994812,79.71862793,593.994812,0.0009511217941,593.994812,-7.552868919E-005,593.994812,-0.0001905824465,593.994812,9.959474119E-005,593.994812,0.0002946304739,593.994812,0.000168679835,593.994812,0.0001666081662,593.994812,0.0002108665067,593.994812,0.0002551552607,593.994812,0.0003080487077,593.994812,-0.0001518205536,593.994812,-9.851081995E-005,593.994812,-0.0002656123252,593.994812,-0.0001913069427,593.994812,-0.0002387583081,593.994812,-0.0002352397278,593.994812,-0.0003108310048,593.994812,-0.0001380020549,593.994812,-0.0001904272067,
592.9896851,79.73307037,592.9896851,-0.001529239118,592.9896851,-3.572116839E-005,592.9896851,-4.426274973E-005,592.9896851,-0.0001681744616,592.9896851,0.0003319331445,592.9896851,0.0001122042813,592.9896851,0.0002932575881,592.9896851,0.0001118158907,592.9896851,0.0002030193282,592.9896851,0.0003819859703,592.9896851,-0.0002166632767,592.9896851,-0.0001144526686,592.9896851,-0.0001149184973,592.9896851,-4.472865112E-005,592.9896851,-0.0002871357719,592.9896851,-0.0001975167834,592.9896851,-4.49874824E-005,592.9896851,-0.0001017199393,592.9896851,-7.640865806E-005,
591.984314,79.76739502,591.984314,-0.009830134921,591.984314,-1.113082362E-005,591.984314,6.44565398E-006,591.984314,3.183985882E-006,591.984314,0.000453914603,591.984314,0.0002261469199,591.984314,0.0002043660206,591.984314,0.0004135180498,591.984314,0.000295511185,591.984314,0.0004078954807,591.984314,-0.0001050325591,591.984314,0.0001163730194,591.984314,0.0002055832447,591.984314,-1.123436505E-005,591.984314,-1.542776226E-005,591.984314,-0.0001008400213,591.984314,-3.230448783E-005,591.984314,-6.626757113E-006,591.984314,1.59201627E-005,
