"SampleAce15_5Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,3.17593
201.00,3.79189
202.00,3.89825
203.00,3.90472
204.00,3.91791
205.00,3.95525
206.00,3.66510
207.00,3.78851
208.00,3.91275
209.00,4.00000
210.00,4.00000
211.00,3.91174
212.00,3.95741
213.00,3.71286
214.00,3.99817
215.00,3.89059
216.00,4.00000
217.00,3.92456
218.00,3.93462
219.00,3.90265
220.00,3.98157
221.00,3.82607
222.00,3.95679
223.00,3.92798
224.00,3.99773
225.00,3.87970
226.00,3.86096
227.00,3.91125
228.00,3.98210
229.00,4.00000
230.00,4.00000
231.00,3.93967
232.00,3.98622
233.00,3.91920
234.00,3.96011
235.00,3.88713
236.00,3.78549
237.00,4.00000
238.00,3.95248
239.00,3.83662
240.00,3.95462
241.00,3.93454
242.00,3.92982
243.00,3.95363
244.00,3.88013
245.00,3.98877
246.00,3.92332
247.00,4.00000
248.00,3.92242
249.00,3.98546
250.00,3.94232
251.00,3.96800
252.00,3.91571
253.00,3.93367
254.00,3.95946
255.00,3.96243
256.00,3.80858
257.00,3.92854
258.00,3.88725
259.00,3.92017
260.00,3.92586
261.00,3.91161
262.00,3.76183
263.00,3.85744
264.00,3.91212
265.00,3.99216
266.00,3.92780
267.00,3.90974
268.00,4.00000
269.00,3.87645
270.00,4.00000
271.00,3.96280
272.00,3.81375
273.00,3.73944
274.00,3.68436
275.00,3.93771
276.00,3.93481
277.00,3.81343
278.00,3.62233
279.00,3.82877
280.00,3.82030
281.00,3.82904
282.00,3.82043
283.00,3.76678
284.00,3.91574
285.00,3.89108
286.00,4.00000
287.00,3.61304
288.00,3.83818
289.00,4.00000
290.00,3.82709
291.00,3.70940
292.00,3.69090
293.00,3.81682
294.00,3.84671
295.00,3.92566
296.00,3.89157
297.00,3.92984
298.00,3.59177
299.00,3.77048
300.00,3.89575
301.00,3.61714
302.00,3.75874
303.00,3.77254
304.00,3.72353
305.00,3.44466
306.00,3.59578
307.00,3.70461
308.00,3.47539
309.00,3.16241
310.00,2.81012
311.00,2.52898
312.00,2.27696
313.00,2.15240
314.00,2.07298
315.00,1.98166
316.00,1.90068
317.00,1.78763
318.00,1.60741
319.00,1.53917
320.00,1.78078
321.00,2.04454
322.00,1.79248
323.00,1.43289
324.00,1.16008
325.00,1.01022
326.00,0.91907
327.00,0.84755
328.00,0.78438
329.00,0.73102
330.00,0.68880
331.00,0.65184
332.00,0.62021
333.00,0.59366
334.00,0.57135
335.00,0.55203
336.00,0.53494
337.00,0.51866
338.00,0.50433
339.00,0.49017
340.00,0.47739
341.00,0.46352
342.00,0.45207
343.00,0.43867
344.00,0.42731
345.00,0.41629
346.00,0.40416
347.00,0.39317
348.00,0.38393
349.00,0.37383
350.00,0.36407
351.00,0.35475
352.00,0.34499
353.00,0.33591
354.00,0.32695
355.00,0.31955
356.00,0.31107
357.00,0.30287
358.00,0.29433
359.00,0.28658
360.00,0.27823
361.00,0.27098
362.00,0.26257
363.00,0.25658
364.00,0.24963
365.00,0.24306
366.00,0.23686
367.00,0.23068
368.00,0.22476
369.00,0.21964
370.00,0.21463
371.00,0.20944
372.00,0.20509
373.00,0.20090
374.00,0.19633
375.00,0.19180
376.00,0.18813
377.00,0.18457
378.00,0.18083
379.00,0.17752
380.00,0.17476
381.00,0.17204
382.00,0.16902
383.00,0.16621
384.00,0.16364
385.00,0.16118
386.00,0.15871
387.00,0.15691
388.00,0.15454
389.00,0.15242
390.00,0.15039
391.00,0.14838
392.00,0.14627
393.00,0.14424
394.00,0.14236
395.00,0.14070
396.00,0.13879
397.00,0.13702
398.00,0.13536
399.00,0.13390
400.00,0.13205
401.00,0.13051
402.00,0.12881
403.00,0.12737
404.00,0.12581
405.00,0.12427
406.00,0.12296
407.00,0.12144
408.00,0.12004
409.00,0.11859
410.00,0.11714
411.00,0.11586
412.00,0.11440
413.00,0.11308
414.00,0.11192
415.00,0.11067
416.00,0.10963
417.00,0.10837
418.00,0.10716
419.00,0.10597
420.00,0.10486
421.00,0.10374
422.00,0.10252
423.00,0.10150
424.00,0.10051
425.00,0.09946
426.00,0.09837
427.00,0.09752
428.00,0.09634
429.00,0.09538
430.00,0.09444
431.00,0.09331
432.00,0.09238
433.00,0.09149
434.00,0.09058
435.00,0.08968
436.00,0.08870
437.00,0.08789
438.00,0.08705
439.00,0.08618
440.00,0.08543
441.00,0.08456
442.00,0.08362
443.00,0.08279
444.00,0.08191
445.00,0.08124
446.00,0.08038
447.00,0.07968
448.00,0.07881
449.00,0.07809
450.00,0.07742
451.00,0.07664
452.00,0.07590
453.00,0.07521
454.00,0.07434
455.00,0.07365
456.00,0.07300
457.00,0.07222
458.00,0.07158
459.00,0.07086
460.00,0.07022
461.00,0.06956
462.00,0.06892
463.00,0.06822
464.00,0.06761
465.00,0.06699
466.00,0.06641
467.00,0.06584
468.00,0.06516
469.00,0.06453
470.00,0.06395
471.00,0.06340
472.00,0.06274
473.00,0.06221
474.00,0.06163
475.00,0.06110
476.00,0.06046
477.00,0.05988
478.00,0.05937
479.00,0.05884
480.00,0.05821
481.00,0.05768
482.00,0.05724
483.00,0.05672
484.00,0.05621
485.00,0.05576
486.00,0.05525
487.00,0.05473
488.00,0.05418
489.00,0.05377
490.00,0.05336
491.00,0.05293
492.00,0.05243
493.00,0.05200
494.00,0.05151
495.00,0.05115
496.00,0.05066
497.00,0.05017
498.00,0.04973
499.00,0.04929
500.00,0.04884
